-8.691985196313894e-002;  4.119284642631801e-001; -5.832147659661263e-001
 1.037146774956164e+000;  8.137243553005405e-002; -5.703274929662892e-001
-3.602584527944123e-001;  8.378614512537046e-001;  2.615265921163826e-001
 6.266465707681335e-001; -1.128416901202341e+000; -1.664644365541639e+000
 3.327523280880091e-001;  4.488553740582839e-001; -2.449449085462368e+000
-7.311567199869298e-001; -1.860587923723032e+000; -1.297179602213110e+000
-7.453603745688361e-003;  4.770473577895327e-001; -2.319515785100494e+000
 1.935170866863264e-001; -2.010280476717868e+000;  3.748000986190077e-001
 5.201529166915653e-001;  3.952972788761738e-001;  1.658581747430548e+000
 4.719198263774027e-001;  1.526020825619557e+000;  3.187088567866725e-002
